"SourceFilename","SourceWidth","SourceHeight","DerivativePath","DerivativeWidth","DerivativeHeight","Group","PageUse","AltEnglish","AltFrench","ProcessingNotes"
"Dimansion_Al_Capone_Bar.png","1916","821","locations-L2-assets/images/dimansion-al-capone-bar.webp","1916","821","Dimansion","L2 interior gallery","The warmly lit Al Capone Bar inside Dimansion","Le bar Al Capone de Dimansion baignÃ© dâ€™une lumiÃ¨re chaleureuse","Cinematic visualization"
"Dimansion_Armory.png","1916","821","locations-L2-assets/images/dimansion-armory.webp","1916","821","Dimansion","Held as secondary approved asset","A dark wood-lined private room within Dimansion","Une piÃ¨ce privÃ©e sombre aux boiseries riches dans Dimansion","Cinematic visualization; not used prominently"
"Dimansion_Back_Pool_Day.png","1915","821","locations-L2-assets/images/dimansion-back-pool-day.webp","1915","821","Dimansion","L2 exterior gallery","Sunlit rear terrace and swimming pool at Dimansion","Terrasse arriÃ¨re et piscine de Dimansion en plein soleil","Cinematic visualization"
"Dimansion_Back_Pool_Night.png","1916","821","locations-L2-assets/images/dimansion-back-pool-night.webp","1916","821","Dimansion","L2 exterior night gallery","Dimansion pool terrace illuminated at night","Terrasse et piscine de Dimansion illuminÃ©es la nuit","Cinematic visualization; secondary night image"
"Dimansion_Dining_Room.png","1916","821","locations-L2-assets/images/dimansion-dining-room.webp","1916","821","Dimansion","L2 interior gallery","A family dinner in the formal dining room at Dimansion","Un dÃ®ner familial dans la salle Ã  manger formelle de Dimansion","Cinematic visualization"
"Dimansion_Floor_Plan_Frosted.png","2048","1536","locations-L2-assets/images/dimansion-floor-plan-frosted.webp","700","525","Protected study","L2 selected production studies","Intentionally obscured preliminary Dimansion set study","Ã‰tude prÃ©liminaire volontairement obscurcie du dÃ©cor de Dimansion","Protected production study; reduced derivative only; reduced protected derivative; no lightbox or download link"
"Dimansion_Front_ Night.png","1916","821","locations-L2-assets/images/dimansion-front-night.webp","1916","821","Dimansion","L2 exterior night gallery","Front faÃ§ade of Dimansion illuminated at night","FaÃ§ade avant de Dimansion illuminÃ©e la nuit","Cinematic visualization; normalized filename"
"Dimansion_Front_Day.png","1915","821","locations-L2-assets/images/dimansion-front-day.webp","1915","821","Dimansion","Homepage card; L2 lead","Sunlit front faÃ§ade and gardens of Dimansion","FaÃ§ade avant et jardins de Dimansion en plein soleil","Cinematic visualization"
"Dimansion_Front_Sunset.png","1915","821","locations-L2-assets/images/dimansion-front-sunset.webp","1915","821","Dimansion","L2 exterior gallery","Dimansion and its formal approach at sunset","Dimansion et son entrÃ©e formelle au coucher du soleil","Cinematic visualization"
"Dimansion_Hall_Living_Room_ Christmas.png","1916","821","locations-L2-assets/images/dimansion-hall-living-room-christmas.webp","1916","821","Dimansion","L2 seasonal interior gallery","Dimansion grand hall decorated for a family Christmas","Grand hall de Dimansion dÃ©corÃ© pour un NoÃ«l en famille","Cinematic visualization"
"Dimansion_Living_Room.png","1915","821","locations-L2-assets/images/dimansion-living-room.webp","1915","821","Dimansion","L2 interior gallery","The grand living room and fireplace inside Dimansion","Le grand salon et la cheminÃ©e de Dimansion","Cinematic visualization"
"Dimansion_Reading_Room.png","1916","821","locations-L2-assets/images/dimansion-reading-room.webp","1916","821","Dimansion","L2 interior gallery","A richly appointed private reading room inside Dimansion","Une riche salle de lecture privÃ©e dans Dimansion","Cinematic visualization"
"Estate_Back Bird_View.png","1915","821","locations-L2-assets/images/estate-back-bird-view.webp","1915","821","Estate","Homepage World hero; L2 estate overview","Aerial view of the Drago Estate linking Dimansion and The Grande Paolo","Vue aÃ©rienne du domaine Drago reliant Dimansion et The Grande Paolo","Cinematic visualization"
"Estate_Back_Night_Bird_View.png","1915","821","locations-L2-assets/images/estate-back-night-bird-view.webp","1915","821","Estate","L2 estate night gallery","The Drago Estate illuminated at night beneath a dark coastline","Le domaine Drago illuminÃ© la nuit au bord dâ€™une cÃ´te sombre","Cinematic visualization; secondary night image"
"Estate_Front_Bird_View.png","1916","821","locations-L2-assets/images/estate-front-bird-view.webp","1916","821","Estate","L2 estate overview","Front aerial view of the Drago Estate and its formal grounds","Vue aÃ©rienne avant du domaine Drago et de ses jardins formels","Cinematic visualization"
"Estate_Sky_View.png","1916","821","locations-L2-assets/images/estate-sky-view.webp","1916","821","Estate","L2 estate scale gallery","High aerial view of the Drago Estate, coastline, and surrounding landscape","Vue aÃ©rienne Ã©levÃ©e du domaine Drago, de la cÃ´te et du paysage environnant","Cinematic visualization"
"Milan_Bird_View.png","1915","821","locations-L2-assets/images/milan-bird-view.webp","1915","821","Territory","L2 Milan territory","Aerial city view of Milan and the cathedral district","Vue aÃ©rienne de Milan et du quartier de la cathÃ©drale","Geographic context"
"Montreal_Winter.png","1916","821","locations-L2-assets/images/montreal-winter.webp","1916","821","Territory","L2 MontrÃ©al territory","Aerial winter view of MontrÃ©al and the St. Lawrence River","Vue aÃ©rienne hivernale de MontrÃ©al et du fleuve Saint-Laurent","Geographic context"
"New_York_Bird_View.png","1916","821","locations-L2-assets/images/new-york-bird-view.webp","1916","821","Territory","L2 New York territory","Aerial view of Manhattan and New York Harbor","Vue aÃ©rienne de Manhattan et du port de New York","Geographic context"
"NY_Drago_Castle_NYDC.png","1916","821","locations-L2-assets/images/ny-drago-castle-nydc.webp","1916","821","NYDC","Homepage card; L2 lead","New York Drago Castle illuminated against the Manhattan skyline","Le ChÃ¢teau Drago de New York illuminÃ© devant la silhouette de Manhattan","Cinematic visualization; matte checked"
"NYDC_Entrance.JPG","1280","549","locations-L2-assets/images/nydc-entrance.webp","1280","548","NYDC","L2 compact gallery","Gothic entrance to New York Drago Castle","EntrÃ©e gothique du ChÃ¢teau Drago de New York","Cinematic visualization; one-pixel bottom edge cropped; one-pixel black/technical edge removed"
"Santa_Barbara_Bird_View.png","1916","821","locations-L2-assets/images/santa-barbara-bird-view.webp","1916","821","Territory","L2 Santa Barbara territory","Aerial geographic context of the Santa Barbara coast and harbor","Contexte gÃ©ographique aÃ©rien de la cÃ´te et du port de Santa Barbara","Geographic context; not the fictional estate"
"TDI_Bird_View.png","1916","821","locations-L2-assets/images/tdi-bird-view.webp","1916","821","TDI","Homepage card; L2 lead","Aerial view of The Drago Island and its turquoise Caribbean waters","Vue aÃ©rienne de Lâ€™ÃŽle Drago et de ses eaux turquoise des CaraÃ¯bes","Cinematic visualization; Dominica context only as TDI"
"TDI_Dessert_Buffet.JPG","1280","549","locations-L2-assets/images/tdi-dessert-buffet.webp","1280","549","TDI","L2 event gallery","An elegant dessert buffet during a gathering on The Drago Island","Un Ã©lÃ©gant buffet de desserts lors dâ€™un rassemblement sur Lâ€™ÃŽle Drago","Cinematic visualization; matte checked"
"TDI_Jet_View.png","1916","821","locations-L2-assets/images/tdi-jet-view.webp","1916","821","TDI","L2 arrival gallery","Private jet approaching The Drago Island over Caribbean waters","Jet privÃ© approchant Lâ€™ÃŽle Drago au-dessus des eaux caribÃ©ennes","Cinematic visualization"
"TDI_Pool_Crowd_1.JPG","1280","549","locations-L2-assets/images/tdi-pool-crowd-1.webp","1280","548","TDI","L2 event gallery","Guests gathering around the resort pool on The Drago Island","InvitÃ©s rassemblÃ©s autour de la piscine de Lâ€™ÃŽle Drago","Cinematic visualization; one-pixel bottom edge cropped; one-pixel black/technical edge removed"
"TDI_Seafood_Buffet.JPG","1280","549","locations-L2-assets/images/tdi-seafood-buffet.webp","1280","548","TDI","L2 event gallery","A lavish seafood buffet on The Drago Island","Un somptueux buffet de fruits de mer sur Lâ€™ÃŽle Drago","Cinematic visualization; one-pixel bottom edge cropped; one-pixel black/technical edge removed"
"TDI_Sunset_Happy_Hour.JPG","1280","549","locations-L2-assets/images/tdi-sunset-happy-hour.webp","1280","548","TDI","L2 event gallery","A sunset gathering overlooking the sea on The Drago Island","Un rassemblement au coucher du soleil face Ã  la mer sur Lâ€™ÃŽle Drago","Cinematic visualization; one-pixel bottom edge cropped; one-pixel black/technical edge removed"
"TGP_4_Desks_ Aquarium.png","1916","821","locations-L2-assets/images/tgp-4-desks-aquarium.webp","1916","821","TGP","L2 signature interior","The Grande Paolo command center with four desks and an aquarium","Centre de commandement de The Grande Paolo avec quatre bureaux et un aquarium","Cinematic visualization"
"TGP_Don_Office.png","1915","821","locations-L2-assets/images/tgp-don-office.webp","1915","821","TGP","L2 interior gallery","The Donâ€™s dark private office inside The Grande Paolo","Le bureau privÃ© sombre du Don dans The Grande Paolo","Cinematic visualization"
"TGP_Exterior.png","1448","621","locations-L2-assets/images/tgp-exterior.webp","1448","621","TGP","Homepage card; L2 lead","Circular exterior of The Grande Paolo at sunset","ExtÃ©rieur circulaire de The Grande Paolo au coucher du soleil","Cinematic visualization"
"TGP_Fireplace.png","1916","821","locations-L2-assets/images/tgp-fireplace.webp","1916","821","TGP","L2 signature interior","Monumental fireplace inside The Grande Paolo","CheminÃ©e monumentale Ã  lâ€™intÃ©rieur de The Grande Paolo","Cinematic visualization; slight dark edge checked and retained"
"TGP_Floor_Plan_Frosted.png","1024","1536","locations-L2-assets/images/tgp-floor-plan-frosted.webp","700","1050","Protected study","L2 selected production studies","Intentionally obscured preliminary The Grande Paolo set study","Ã‰tude prÃ©liminaire volontairement obscurcie du dÃ©cor de The Grande Paolo","Protected production study; reduced derivative only; reduced protected derivative; no lightbox or download link"
"TGP_Interior_Central_Place.png","1916","821","locations-L2-assets/images/tgp-interior-central-place.webp","1916","821","TGP","L2 interior gallery","The central hall and sculptural floor inside The Grande Paolo","Hall central et sol sculptural de The Grande Paolo","Cinematic visualization"
"TGP_Night_Sunset_Bird_View.png","1915","821","locations-L2-assets/images/tgp-night-sunset-bird-view.webp","1915","821","TGP","L2 estate relationship gallery","The Grande Paolo on the coast at twilight","The Grande Paolo sur la cÃ´te au crÃ©puscule","Cinematic visualization"
"TGP_War_Room_G5_Map.png","1916","821","locations-L2-assets/images/tgp-war-room-g5-map.webp","1916","821","TGP","L2 strategy interior","The Grande Paolo war room during a strategic briefing","Salle de crise de The Grande Paolo pendant une rÃ©union stratÃ©gique","Cinematic visualization"
"Trapani_Restaurant.JPG","1280","549","locations-L2-assets/images/trapani-restaurant.webp","1280","548","Territory","L2 Trapani story context","Guests dining on a coastal terrace near Trapani","InvitÃ©s dÃ®nant sur une terrasse cÃ´tiÃ¨re prÃ¨s de Trapani","Cinematic story context; figures are unnamed; one-pixel edge cropped; one-pixel black/technical edge removed"
"Trapani_Sicily.png","1916","821","locations-L2-assets/images/trapani-sicily.webp","1916","821","Territory","L2 Trapani and Sicily territory","Aerial view of Trapani harbor and the Sicilian coastline","Vue aÃ©rienne du port de Trapani et de la cÃ´te sicilienne","Geographic context"
